Headword,POS,Same_Sign_Words,Additional_Info,Homonym_Info
1층,Noun,,일층,
가게,Noun,장사 | 상점 | 시장,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가격,Noun,값 | 대금 | 금액 | 돈 | 금전 | 화폐,,
가공,Noun,짓다 | 공작 | 작성 | 제작 | 제조 | 만들다,,
가구,Noun,가족 | 식구 | 세대,,
가구주,Noun,가장 | 주인 | 호주,,
가까이,Adverb,근방 | 근처 | 부근 | 인근,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가까이하다,Verb,다정 | 우정 | 우애 | 우의 | 친목 | 가깝다 | 단란하다 | 의좋다 | 정답다 | 친하다 | 친교,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가깝다,Adjective,짧다,,동음이의어 있음
가깝다,Adjective,다정 | 우정 | 우애 | 우의 | 친목 | 가까이하다 | 단란하다 | 의좋다 | 정답다 | 친하다 | 친교,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
가꾸다,Verb,기르다 | 배양 | 양성 | 양육 | 육성 | 키우다,,
가끔,Adverb,간혹 | 때때로 | 이따금 | 종종 | 간간이 | 드문드문 | 종종히 | 혹,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가나,Noun,,,
가난,Noun,곤궁 | 궁핍 | 빈곤 | 궁색하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가난뱅이,Noun,,,
가내,Noun,집안 | 가정 | 일가,,
가냘프다,Adjective,가느다랗다 | 가늘다,,
가느다랗다,Adjective,,,
가는곳,Noun,행선지 | 행방,,
가늘다,Adjective,,,
가능,Noun,할 수 있다,,
가다,Verb,,,
가다듬다,Verb,정신차리다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가담,Noun,들어가다 | 참가 | 참석 | 참여 | 출석 | 진출,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가동,Noun,,,
가득,Adverb,차다 | 가득히,,
가득차다,Verb,차다 | 메우다,공간이,
가득히,Adverb,가득 | 차다,,
가라앉다,Verb,가라앉히다 | 냉각,,
가라앉히다,Verb,냉각 | 가라앉다,,
가락지,Noun,반지,,
가랑잎,Noun,낙엽 | 낙엽이 떨어지다,,
가련하다,Adjective,불쌍하다 | 가엾다 | 애처롭다 | 측은하다 | 자비,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가렵다,Adjective,긁다,,
가령,Adverb,만약,,
가로채다,Verb,,,
가루,Noun,분말 | 분,,
가르다,Verb,나누다 | 구별 | 구분 | 분류 | 분별 | 분할 | 유별,,
가르치다,Verb,가르침 | 교육 | 교수하다,,
가르침,Noun,가르치다 | 교육 | 교수하다,,
가리다,Verb,고르다 | 선별,,
가마,Noun,,,
가마니,Noun,가마,,
가만있다,Verb,멈추다 | 멎다,,
가만히,Adverb,조용하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가면,Noun,탈,,
가물거리다,Verb,애매하다 | 가물대다 | 불분명하다 | 막연하다 | 묘연하다 | 아물거리다 | 흐리다 | 희미하다 | 모호 | 불확실 | 어렴풋이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가물대다,Verb,애매하다 | 가물거리다 | 불분명하다 | 막연하다 | 묘연하다 | 아물거리다 | 흐리다 | 희미하다 | 모호 | 불확실 | 어렴풋이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가발,Noun,덧머리,,
가방,Noun,들다,,
가볍다,Adjective,,,
가사,Noun,집안일 | 가정일,,
가사관리사,Noun,가정부,,
가산,Noun,가재,,
가수,Noun,,,
가스체,Noun,기체,,
가슴,Noun,흉부,,
가시,Noun,날카롭다 | 뾰족하다 | 예리하다 | 예민하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가시다,Verb,사라지다 | 상실,,
가야금,Noun,,,
가엾다,Adjective,불쌍하다 | 가련하다 | 애처롭다 | 측은하다 | 자비,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
가옥,Noun,집 | 주택 | 세대 | 호 | 댁,,
가요,Noun,노래 | 음악,,
가운데,Noun,복판 | 중심 | 한가운데,,
가위,Noun,가위질,,
가위질,Noun,가위,,
가을,Noun,금추,,
가입,Noun,등록,,
가장,Adverb,일등 | 으뜸 | 제일 | 최고 | 맨 | 수석,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),동음이의어 있음
가장,Noun,가구주 | 주인 | 호주,,동음이의어 있음
가재,Noun,가산,,
가정,Noun,집안 | 일가 | 가내,,
가정부,Noun,가사관리사,,
가정일,Noun,가사 | 집안일,,
가져가다,Verb,,,
가져오다,Verb,,,
가족,Noun,식구 | 세대 | 가구,,
가죽,Noun,고기 | 살,,
가중,Noun,,,
가지,Noun,,,
가지가지,Determiner,온갖 | 갖가지 | 여러 가지,,
가지각색,Noun,형형색색 | 각양각색,,
가지고 다니다,Verb,휴대,,
가지다,Verb,갖다 | 지니다 | 취하다 | 소유하다 | 소지하다,,
가진 것이 없다,Adjective,맨몸,,
가짜,Noun,,,
가책,Noun,꾸짖다 | 나무라다 | 야단치다 | 구박 | 꾸중 | 꾸지람 | 책망 | 핍박 | 힐책,,
가치,Noun,재산,,
가톨릭,Noun,천주교,,
각,Noun,개별 | 각각 | 각기 | 개개 | 낱낱이 | 제각기 | 각자,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
각각,Adverb,개별 | 각 | 각기 | 개개 | 낱낱이 | 제각기 | 각자,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
